2025-07-30 22:45:03,218 - TransformerTrainer - INFO - Epoch 21 - Train Loss: 1.3654 - Val Loss: 1.6635 - Time: 140.09s - Blue_score: 11.40 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:47:25,848 - TransformerTrainer - INFO - Epoch 22 - Train Loss: 1.3236 - Val Loss: 1.6558 - Time: 137.74s - Blue_score: 11.51 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:49:49,096 - TransformerTrainer - INFO - Epoch 23 - Train Loss: 1.2879 - Val Loss: 1.6556 - Time: 138.51s - Blue_score: 9.55 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:52:11,044 - TransformerTrainer - INFO - Epoch 24 - Train Loss: 1.2529 - Val Loss: 1.6397 - Time: 137.21s - Blue_score: 11.37 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:54:33,920 - TransformerTrainer - INFO - Epoch 25 - Train Loss: 1.2185 - Val Loss: 1.6286 - Time: 138.17s - Blue_score: 10.05 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:56:53,379 - TransformerTrainer - INFO - Epoch 26 - Train Loss: 1.1884 - Val Loss: 1.6406 - Time: 134.74s - Blue_score: 27.04 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 22:59:10,697 - TransformerTrainer - INFO - Epoch 27 - Train Loss: 1.1594 - Val Loss: 1.6272 - Time: 137.32s - Blue_score: 13.48 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:01:32,158 - TransformerTrainer - INFO - Epoch 28 - Train Loss: 1.1311 - Val Loss: 1.6249 - Time: 136.77s - Blue_score: 13.51 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:03:53,090 - TransformerTrainer - INFO - Epoch 29 - Train Loss: 1.1046 - Val Loss: 1.6330 - Time: 136.22s - Blue_score: 18.31 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:06:09,733 - TransformerTrainer - INFO - Epoch 30 - Train Loss: 1.0825 - Val Loss: 1.6280 - Time: 136.64s - Blue_score: 15.06 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:08:24,611 - TransformerTrainer - INFO - Epoch 31 - Train Loss: 1.0597 - Val Loss: 1.6305 - Time: 134.88s - Blue_score: 28.31 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:10:39,858 - TransformerTrainer - INFO - Epoch 32 - Train Loss: 1.0378 - Val Loss: 1.6240 - Time: 135.24s - Blue_score: 22.43 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:13:01,582 - TransformerTrainer - INFO - Epoch 33 - Train Loss: 1.0198 - Val Loss: 1.6257 - Time: 137.03s - Blue_score: 13.38 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:15:16,731 - TransformerTrainer - INFO - Epoch 34 - Train Loss: 1.0022 - Val Loss: 1.6244 - Time: 135.15s - Blue_score: 24.67 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:17:31,748 - TransformerTrainer - INFO - Epoch 35 - Train Loss: 0.9862 - Val Loss: 1.6318 - Time: 135.01s - Blue_score: 28.85 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:19:46,988 - TransformerTrainer - INFO - Epoch 36 - Train Loss: 0.9710 - Val Loss: 1.6368 - Time: 135.24s - Blue_score: 25.51 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:22:01,621 - TransformerTrainer - INFO - Epoch 37 - Train Loss: 0.9591 - Val Loss: 1.6312 - Time: 134.63s - Blue_score: 29.35 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:24:17,292 - TransformerTrainer - INFO - Epoch 38 - Train Loss: 0.9475 - Val Loss: 1.6377 - Time: 135.67s - Blue_score: 21.42 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:26:32,987 - TransformerTrainer - INFO - Epoch 39 - Train Loss: 0.9364 - Val Loss: 1.6395 - Time: 135.69s - Blue_score: 21.92 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:28:48,405 - TransformerTrainer - INFO - Epoch 40 - Train Loss: 0.9287 - Val Loss: 1.6414 - Time: 135.42s - Blue_score: 22.16 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:31:04,193 - TransformerTrainer - INFO - Epoch 41 - Train Loss: 0.9197 - Val Loss: 1.6457 - Time: 135.79s - Blue_score: 24.42 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:33:20,132 - TransformerTrainer - INFO - Epoch 42 - Train Loss: 0.9135 - Val Loss: 1.6432 - Time: 135.94s - Blue_score: 25.42 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:35:35,605 - TransformerTrainer - INFO - Epoch 43 - Train Loss: 0.9085 - Val Loss: 1.6421 - Time: 135.47s - Blue_score: 21.93 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
